Curve dftb.rkf
198.2442927552485 3.324717003681095
261.6995154377489 103.461591915251
426.9823851301843 7.839378074468985
821.9701202995415 0.1136054350020084
895.4576125866358 16.48547917231128
1011.382472578057 68.11719357409885
1076.977648824044 2.689285880212477
1190.032380165189 10.73185242220139
1226.396233132721 105.3004587029365
1292.974818861269 0.2775711478534258
1369.890161039876 7.090671067174124
1419.779141762173 18.69010134313664
1425.665509579118 1.276858931465078
1437.287874300856 16.33747399023623
1465.846400902638 33.57360429838204
2851.713747354012 150.2401718361671
2896.973445520329 24.24199980874017
2917.525947325656 172.9031301679994
3029.081389093524 38.85174704322863
3031.39809094524 39.48315268809619
3683.589404708864 38.96735912826095
